Description of Emergency,Title of Emergency
MERMAID LN & ELM AVE;  SPRINGFIELD; Station 311; 2015-12-16 @ 16:45:30;,EMS: GENERAL WEAKNESS
HUNTINGDON PIKE & WELSH RD;  LOWER MORELAND; Station 355; 2015-12-16 @ 16:42:57;,EMS: SYNCOPAL EPISODE
NURSERY DR & N GRAVERS RD; PLYMOUTH; 2015-12-16 @ 16:41:41-Station:STA44;,Fire: FIRE ALARM
SHANNONDELL DR & SHANNONDELL BLVD;  LOWER PROVIDENCE; Station 322A; 2015-12-16 @ 16:42:24;,EMS: HEAD INJURY
E BUTLER PIKE & BETHLEHEM PIKE; UPPER DUBLIN; 2015-12-16 @ 16:39:21;,Traffic: VEHICLE ACCIDENT -
MOOREHEAD AVE & FRONT ST; WEST CONSHOHOCKEN; 2015-12-16 @ 16:41:47;,Traffic: VEHICLE ACCIDENT -
BAXTER DR & HUDSON DR; UPPER PROVIDENCE; 2015-12-16 @ 16:46:38-Station:STA99;,Fire: CARBON MONOXIDE DETECTOR
OLD FORTY FOOT RD & SUMNEYTOWN PIKE; TOWAMENCIN; 2015-12-16 @ 16:50:14;,Traffic: VEHICLE ACCIDENT -
BLUEROUTE  & BROOK RD UNDERPASS; PLYMOUTH; 2015-12-16 @ 16:49:01;,Traffic: VEHICLE ACCIDENT -
STATION CIR & HAVERFORD AVE; NARBERTH; 2015-12-16 @ 16:46:41;,Traffic: VEHICLE ACCIDENT -
DRESHER RD & BUSINESS CENTER DR;  HORSHAM; Station 352; 2015-12-16 @ 16:53:23;,EMS: CARDIAC EMERGENCY
ELMWOOD AVE & S ESSEX AVE; NARBERTH; 2015-12-16 @ 16:46:41;,Traffic: VEHICLE ACCIDENT -
HOUSTON RD & KNIGHT RD;  LOWER GWYNEDD; Station 351; 2015-12-16 @ 16:57:24;,EMS: GENERAL WEAKNESS
RT422  & TURNPIKE OVERPASS; CHESTER COUNTY; 2015-12-16 @ 17:00:46;,Traffic: VEHICLE ACCIDENT -
WASHINGTON LN & VERNON RD; ABINGTON; 2015-12-16 @ 16:56:29;,Traffic: VEHICLE ACCIDENT -
RT422  & TURNPIKE OVERPASS; CHESTER COUNTY; 2015-12-16 @ 17:02:34;,Traffic: VEHICLE ACCIDENT -
SILVER AVE & DEAD END;  ABINGTON; Station 381; 2015-12-16 @ 17:02:58;,EMS: FALL VICTIM
BUTLER PIKE & E NORTH LN; PLYMOUTH; 2015-12-16 @ 17:07:41;,Traffic: VEHICLE ACCIDENT -
W CITY AVE; LOWER MERION; 2015-12-16 @ 17:16:07-Station:STA28;,Fire: BUILDING FIRE
BOWMAN AVE & LINDEN LN; LOWER MERION; 2015-12-16 @ 17:20:38-Station:STA28;,Fire: FIRE ALARM
WELSH RD & KIMBALL AVE; UPPER DUBLIN; 2015-12-16 @ 17:21:07;,Traffic: VEHICLE ACCIDENT -
JOHNSON HWY & NORTH HILLS DR;  NORRISTOWN; Station 308A; 2015-12-16 @ 17:24:20;,EMS: ABDOMINAL PAINS
STONEWAY LN & OLD LANCASTER RD; LOWER MERION; 2015-12-16 @ 17:16:07-Station:STA28;,Fire: BUILDING FIRE
MAIN ST & E BRIDGE ST;  CHESTER COUNTY; Station EMS; 2015-12-16 @ 17:23:51;,EMS: DIZZINESS
JOHN RUSSELL CIR & LUCRETIA MOTT WAY;  CHELTENHAM; Station 358; 2015-12-16 @ 17:22:07;,EMS: SUBJECT IN PAIN
TROOPER RD & GERMANTOWN PIKE; EAST NORRITON; 2015-12-16 @ 17:24:41;,Traffic: VEHICLE ACCIDENT -
HORACE AVE & BOCKIUS AVE;  ABINGTON; Station 381; 2015-12-16 @ 17:28:57;,EMS: ABDOMINAL PAINS
W MONTGOMERY AVE & WILLOWBROOK LN; LOWER MERION; 2015-12-16 @ 17:30:42;,Traffic: VEHICLE ACCIDENT -
OLD LANCASTER RD;  LOWER MERION; Station 313; 2015-12-16 @ 17:34:57;,EMS: VEHICLE ACCIDENT
DOYLESTOWN PIKE & COUNTY LINE RD; MONTGOMERY; 2015-12-16 @ 17:34:57;,Traffic: VEHICLE ACCIDENT -
EASTON RD & WGNAS MAIN GATE; HORSHAM; 2015-12-16 @ 17:32:48;,Traffic: VEHICLE ACCIDENT -
OLD LANCASTER RD & SYCAMORE AVE; LOWER MERION; 2015-12-16 @ 17:35:37;,Traffic: VEHICLE ACCIDENT -
KING WAY & CROWN POINTE DR;  LIMERICK; Station 324A; 2015-12-16 @ 17:39:56;,EMS: FRACTURE
LANTERN LN & GYPSY LN;  SPRINGFIELD; Station 311; 2015-12-16 @ 17:37:09;,EMS: RESPIRATORY EMERGENCY
RT309 EXPY SB & RAMP RT309 SB TO BUTLER PIKE; UPPER DUBLIN; 2015-12-16 @ 17:40:09;,Traffic: ROAD OBSTRUCTION -
TOWNSHIP LINE RD & GLEN RD; CHELTENHAM; 2015-12-16 @ 17:38:16;,Traffic: VEHICLE ACCIDENT -
E CITY AVE & CONSHOHOCKEN AVE; LOWER MERION; 2015-12-16 @ 17:41:20;,Traffic: DISABLED VEHICLE -
RICHARDSON RD & COUNTY LINE RD; MONTGOMERY; 2015-12-16 @ 17:41:15;,Traffic: VEHICLE ACCIDENT -
RT309 EXPY SB & RAMP RT309 SB TO BUTLER PIKE; UPPER DUBLIN; 2015-12-16 @ 17:42:26;,Traffic: ROAD OBSTRUCTION -
PEARL ST & W LAFAYETTE ST;  NORRISTOWN; Station 308A; 2015-12-16 @ 17:41:59;,EMS: RESPIRATORY EMERGENCY
EASTON RD & RAMP I276 TO RT611 NB; UPPER MORELAND; 2015-12-16 @ 17:45:10;,Traffic: VEHICLE ACCIDENT -
HEFFNER RD & LANDIS CREEK LN; LIMERICK; 2015-12-16 @ 17:47:12-Station:STA54;,Fire: FIRE ALARM
YERKES AVE & ROBERTS ALY;  NORRISTOWN; Station 308A; 2015-12-16 @ 17:52:40;,EMS: FALL VICTIM
SCHUYLKILL EXPY & TRINITY LN UNDERPASS; UPPER MERION; 2015-12-16 @ 17:55:33;,Traffic: VEHICLE ACCIDENT -
WHITEHALL RD & W GERMANTOWN PIKE; EAST NORRITON; 2015-12-16 @ 18:00:39;,Traffic: DISABLED VEHICLE -
S HANOVER ST & POTTSTOWN PIKE; CHESTER COUNTY; 2015-12-16 @ 17:58:11;,Traffic: VEHICLE ACCIDENT -
VALLEY FORGE RD & MCAULIFFE LN; UPPER GWYNEDD; 2015-12-16 @ 17:57:56;,Traffic: VEHICLE ACCIDENT -
TOWNSHIP LINE RD & CEDAR RD; CHELTENHAM; 2015-12-16 @ 18:01:31;,Traffic: DISABLED VEHICLE -
HIGH ST & JAY ST; WEST POTTSGROVE; 2015-12-16 @ 18:10:06;,Traffic: DISABLED VEHICLE -
EASTON RD & LAWNTON RD; UPPER MORELAND; 2015-12-16 @ 18:09:32;,Traffic: VEHICLE ACCIDENT -
TOWNSHIP LINE RD & HAINES AVE; ABINGTON; 2015-12-16 @ 18:07:25;,Traffic: VEHICLE ACCIDENT -
TOWNSHIP LINE RD;  ABINGTON; Station 382; 2015-12-16 @ 18:15:21;,EMS: VEHICLE ACCIDENT
BIG RD & COLONIAL RD;  UPPER FREDERICK; Station 331; 2015-12-16 @ 18:14:56;,EMS: RESPIRATORY EMERGENCY
RAMP RT422 WB TO TOWNSHIP LINE RD & S TOWNSHIP LINE RD; LIMERICK; 2015-12-16 @ 18:14:01;,Traffic: VEHICLE ACCIDENT -
JEFFERSON CT & PRESIDENTIAL DR;  LIMERICK; Station 324A; 2015-12-16 @ 18:16:22;,EMS: CHOKING
N READING AVE;  BERKS COUNTY; Station EMS; 2015-12-16 @ 18:17:34;,EMS: VEHICLE ACCIDENT
ALLENDALE RD & W DEKALB PIKE; UPPER MERION; 2015-12-16 @ 18:20:41;,Traffic: VEHICLE ACCIDENT -
N READING AVE & BRICKYARD LN; BERKS COUNTY; 2015-12-16 @ 18:20:28;,Traffic: VEHICLE ACCIDENT -
CHARLOTTE ST & SWAMP PIKE; NEW HANOVER; 2015-12-16 @ 18:25:08;,Traffic: VEHICLE ACCIDENT -
WITMER RD & DRESHER RD; HORSHAM; 2015-12-16 @ 18:30:10;,Traffic: VEHICLE ACCIDENT -
VILLAGE DR & N GULPH RD; UPPER MERION; 2015-12-16 @ 18:34:26;,Traffic: VEHICLE ACCIDENT -
TOWNSHIP LINE RD & FAIRVIEW RD; CHELTENHAM; 2015-12-16 @ 18:01:31;,Traffic: DISABLED VEHICLE -
W MONTGOMERY AVE & CLAIREMONT RD; LOWER MERION; 2015-12-16 @ 18:32:53;,Traffic: ROAD OBSTRUCTION -
LANSDALE AVE & E 7TH ST;  LANSDALE; Station 345; 2015-12-16 @ 18:38:34;,EMS: UNCONSCIOUS SUBJECT
MONTGOMERY AVE & S 9TH ST;  NORTH WALES; Station 345B; 2015-12-16 @ 18:43:23;,EMS: CARDIAC EMERGENCY
MAIN ST & E 8TH ST; PENNSBURG; 2015-12-16 @ 18:41:43;,Traffic: VEHICLE ACCIDENT -
S TOWNSHIP LINE RD & RAMP RT422 WB TO TOWNSHIP LINE RD; LIMERICK; 2015-12-16 @ 18:41:53;,Traffic: VEHICLE ACCIDENT -
NORTH WALES RD & BEAVER ST; UPPER GWYNEDD; 2015-12-16 @ 18:51:30-Station:STA80;,Fire: FIRE ALARM
TOWNSHIP LINE RD & HOLME AVE; CHELTENHAM; 2015-12-16 @ 18:53:58;,Traffic: DISABLED VEHICLE -
TOWNSHIP LINE RD & HOLME AVE; CHELTENHAM; 2015-12-16 @ 18:57:22;,Traffic: DISABLED VEHICLE -
SCHUYLKILL EXPY & WAVERLY RD UNDERPASS; LOWER MERION; 2015-12-16 @ 18:59:13;,Traffic: VEHICLE ACCIDENT -
BETTY LN & NEIFFER RD; LIMERICK; 2015-12-16 @ 19:01:42;,Traffic: VEHICLE ACCIDENT -
MARLBORO RD & S CHURCH RD;  LOWER MERION; Station 313; 2015-12-16 @ 19:09:52;,EMS: UNKNOWN MEDICAL EMERGENCY
LEMON ST & JEFFERSON ST;  WEST POTTSGROVE; Station 329; 2015-12-16 @ 19:17:22;,EMS: ASSAULT VICTIM
BETTY LN & NEIFFER RD; LIMERICK; 2015-12-16 @ 19:24:58;,Traffic: VEHICLE ACCIDENT -
BETHLEHEM PIKE & ARGYLE AVE;  AMBLER; Station 351; 2015-12-16 @ 19:23:24;,EMS: SYNCOPAL EPISODE
OLD YORK RD & BAEDER RD; ABINGTON; 2015-12-16 @ 19:29:26;,Traffic: VEHICLE ACCIDENT -
4TH ST; PENNSBURG; 2015-12-16 @ 19:27:43-Station:STA65;,Fire: TRASH/DUMPSTER FIRE
OLD YORK RD & BAEDER RD;  ABINGTON; Station 382; 2015-12-16 @ 19:33:04;,EMS: VEHICLE ACCIDENT
HUNT SEAT DR & HOBBY HORSE HL; LOWER GWYNEDD; 2015-12-16 @ 19:41:36-Station:STA7;,Fire: FIRE ALARM
PROSS RD & SWARTLEY RD;  TOWAMENCIN; Station 345B; 2015-12-16 @ 19:50:18;,EMS: UNRESPONSIVE SUBJECT
RT422  & TROUTMAN RD UNDERPASS; UPPER PROVIDENCE; 2015-12-16 @ 19:51:07;,Traffic: VEHICLE ACCIDENT -
KING ST & N WASHINGTON ST;  POTTSTOWN; Station 329; 2015-12-16 @ 19:54:41;,EMS: POISONING
EXTENSION PENNSYLVANIA TPKE & RAMP I276 EB TO I476 NB; PLYMOUTH; 2015-12-16 @ 19:53:37-Station:STA44;,Fire: VEHICLE FIRE
EXTENSION PENNSYLVANIA TPKE & RAMP I276 EB TO I476 NB; PLYMOUTH; 2015-12-16 @ 19:56:25;,Traffic: VEHICLE FIRE -
SHANNONDELL DR & SHANNONDELL BLVD;  LOWER PROVIDENCE; Station 322A; 2015-12-16 @ 19:58:35;,EMS: FALL VICTIM
LUCETTA ST & HAWS ALY;  PLYMOUTH; Station 308A; 2015-12-16 @ 20:01:27;,EMS: CARDIAC EMERGENCY
GODDARD BLVD & N GULPH RD;  UPPER MERION; Station 317; 2015-12-16 @ 20:04:19;,EMS: RESPIRATORY EMERGENCY
EXTENSION PENNSYLVANIA TPKE & TOWNSHIP LINE RD UNDERPASS; WHITPAIN; 2015-12-16 @ 19:53:37-Station:STA44;,Fire: VEHICLE FIRE
EXTENSION PENNSYLVANIA TPKE & TOWNSHIP LINE RD UNDERPASS; WHITPAIN; 2015-12-16 @ 19:56:25;,Traffic: VEHICLE FIRE -
5TH AVE & HALLOWELL ST;  CONSHOHOCKEN; Station 313A; 2015-12-16 @ 20:10:37;,EMS: BACK PAINS/INJURY
MAIN ST & S SCHUYLKILL AVE;  WEST NORRITON; Station 308B; 2015-12-16 @ 20:09:51;,EMS: VEHICLE ACCIDENT
BLAKER DR;  EAST GREENVILLE; Station 369; 2015-12-16 @ 20:09:18;,EMS: UNCONSCIOUS SUBJECT
MAIN ST & S SCHUYLKILL AVE; WEST NORRITON; 2015-12-16 @ 20:10:08;,Traffic: VEHICLE ACCIDENT -
MAIN ST & S SCHUYLKILL AVE; WEST NORRITON; 2015-12-16 @ 20:14:16-Station:STA46;,Fire: VEHICLE ACCIDENT
MONTGOMERY AVE & N STONE RIDGE LN;  LOWER MERION; Station 313A; 2015-12-16 @ 20:16:20;,EMS: UNKNOWN MEDICAL EMERGENCY
DEKALB PIKE & E GERMANTOWN PIKE; EAST NORRITON; 2015-12-16 @ 20:19:59;,Traffic: VEHICLE ACCIDENT -
HORSHAM RD & MONTGOMERY GLEN DR; MONTGOMERY; 2015-12-16 @ 20:17:28;,Traffic: DISABLED VEHICLE -
ST GEORGES RD & DEVONSHIRE RD;  UPPER DUBLIN; Station 381; 2015-12-16 @ 20:27:04;,EMS: FALL VICTIM
SWEDE ST & LINCOLN AVE;  NORRISTOWN; Station 308A; 2015-12-16 @ 20:32:30;,EMS: CHOKING
BLACK ROCK RD & S TRAPPE RD;  UPPER PROVIDENCE; Station 325; 2015-12-16 @ 20:34:51;,EMS: GENERAL WEAKNESS
CIRCLE OF PROGRESS & GLASGOW ST; POTTSTOWN; 2015-12-16 @ 20:32:49;,Traffic: DISABLED VEHICLE -
WELDY AVE & ORLANDO AVE;  UPPER DUBLIN; Station 383; 2015-12-16 @ 20:47:44;,EMS: ALTERED MENTAL STATUS
HIGH ST & UNION ST;  POTTSTOWN; Station 329; 2015-12-16 @ 20:50:14;,EMS: CARDIAC EMERGENCY
HORSHAM RD & KEITH VALLEY RD;  HORSHAM; Station 352; 2015-12-16 @ 20:50:46;,EMS: LACERATIONS
MORELAND RD & ALLISON RD;  UPPER MORELAND; Station 381; 2015-12-16 @ 20:49:15;,EMS: SUBJECT IN PAIN
PAPER MILL RD & SKYLINE DR;  SPRINGFIELD; Station 311; 2015-12-16 @ 20:48:32;,EMS: UNCONSCIOUS SUBJECT
FOXFIELD RD & DEAD END;  LOWER GWYNEDD; Station 351; 2015-12-16 @ 21:01:22;,EMS: STABBING
2ND ST & MILL ST; BRIDGEPORT; 2015-12-16 @ 21:08:40-Station:STA31;,Fire: CARBON MONOXIDE DETECTOR
NORTH HILLS AVE & NORTHVIEW DR; UPPER DUBLIN; 2015-12-16 @ 21:09:35-Station:STA88;,Fire: VEHICLE FIRE
DEKALB PIKE & W GERMANTOWN PIKE;  EAST NORRITON; Station 308; 2015-12-16 @ 21:10:13;,EMS: SEIZURES
HOLLY RD & INDUSTRIAL DR; DOUGLASS; 2015-12-16 @ 21:09:35;,Traffic: DISABLED VEHICLE -
NORTH HILLS AVE & NORTHVIEW DR; UPPER DUBLIN; 2015-12-16 @ 21:12:30;,Traffic: VEHICLE FIRE -
KENMARE DR & DERRY DR;  UPPER DUBLIN; Station 351; 2015-12-16 @ 21:23:55;,EMS: FALL VICTIM
W LAFAYETTE ST; NORRISTOWN; 2015-12-16 @ 21:30:22-Station:STA27;,Fire: FIRE SPECIAL SERVICE
EASTON RD;  ABINGTON; Station 381; 2015-12-16 @ 21:28:33;,EMS: RESPIRATORY EMERGENCY
DEKALB PIKE & COLONIAL DR;  EAST NORRITON; Station 308; 2015-12-16 @ 21:33:59;,EMS: RESPIRATORY EMERGENCY
2ND ST & MILL ST;  BRIDGEPORT; Station 317; 2015-12-16 @ 21:35:59;,EMS: CARBON MONOXIDE DETECTOR
FITZWATERTOWN RD & SUSQUEHANNA RD; UPPER DUBLIN; 2015-12-16 @ 21:49:25;,Traffic: VEHICLE ACCIDENT -
CHESTNUT ST & DEAD END; HATFIELD BORO; 2015-12-16 @ 21:58:22-Station:STA17;,Fire: CARBON MONOXIDE DETECTOR
HIGH ST & GREEN ST;  POTTSTOWN; Station 329; 2015-12-16 @ 22:05:42;,EMS: OVERDOSE
GERMANTOWN PIKE & HANNAH AVE;  EAST NORRITON; Station 308; 2015-12-16 @ 22:07:21;,EMS: RESPIRATORY EMERGENCY
BEACON CT & CLAREMONT DR;  MONTGOMERY; Station 345A; 2015-12-16 @ 22:14:22;,EMS: CARDIAC EMERGENCY
FITZWATERTOWN RD & BARTRAM RD;  UPPER MORELAND; Station 381; 2015-12-16 @ 22:11:54;,EMS: OVERDOSE
BEECH ST & MANATAWNY ST;  POTTSTOWN; Station 329; 2015-12-16 @ 22:19:49;,EMS: NAUSEA/VOMITING
PERRIN CT & N SPRING HILL DR;  UPPER DUBLIN; Station 351; 2015-12-16 @ 22:30:30;,EMS: BACK PAINS/INJURY
ELM ST & MONROE AVE;  WEST POTTSGROVE; Station 329; 2015-12-16 @ 22:29:29;,EMS: NAUSEA/VOMITING
CHANDLER LN & WENTZ LN;  SKIPPACK; Station 336; 2015-12-16 @ 22:44:58;,EMS: FALL VICTIM
BLAIR MILL RD & WITMER RD; HORSHAM; 2015-12-16 @ 22:45:42;,Traffic: VEHICLE ACCIDENT -
WOODSTREAM DR & WESTOVER CLUB DR;  WEST NORRITON; Station 308B; 2015-12-16 @ 23:00:45;,EMS: RESPIRATORY EMERGENCY
GENERAL ARMSTRONG RD & GENERAL KNOX RD;  UPPER MERION; Station 317; 2015-12-16 @ 23:04:30;,EMS: HEMORRHAGING
MARKLEY ST & W FREEDLEY ST; NORRISTOWN; 2015-12-16 @ 23:17:28-Station:STA27;,Fire: FIRE SPECIAL SERVICE
WAYNE AVE & RIDGE PIKE; LOWER PROVIDENCE; 2015-12-16 @ 23:17:55;,Traffic: HAZARDOUS ROAD CONDITIONS -
STONYBROOK DR & N WHITEHALL RD;  WEST NORRITON; Station 308B; 2015-12-16 @ 23:32:34;,EMS: ABDOMINAL PAINS
BEECH DR & SPRUCE ST;  WEST NORRITON; Station 308B; 2015-12-16 @ 23:32:16;,EMS: SEIZURES
COUNTRY CLUB DR & DOYLESTOWN PIKE;  MONTGOMERY; Station 345; 2015-12-17 @ 00:12:04;,EMS: FALL VICTIM
CRAWFORD AVE & FRONT ST; WEST CONSHOHOCKEN; 2015-12-17 @ 00:15:16;,Traffic: VEHICLE ACCIDENT -
BARTMAN AVE & RUBY CIR;  DOUGLASS; Station 332; 2015-12-17 @ 00:20:57;,EMS: RESPIRATORY EMERGENCY
KEIM ST & MORRIS ST;  POTTSTOWN; Station 329; 2015-12-17 @ 00:24:10;,EMS: RESPIRATORY EMERGENCY
HIGHLAND CIR & N HIGHLAND AVE;  LOWER MERION; Station 313; 2015-12-17 @ 00:23:13;,EMS: UNKNOWN MEDICAL EMERGENCY
GODSHALL RD & FAIRWAY DR; FRANCONIA; 2015-12-17 @ 00:26:23-Station:STA75;,Fire: FIRE POLICE NEEDED
CRAWFORD AVE & FRONT ST;  WEST CONSHOHOCKEN; Station 313A; 2015-12-17 @ 00:27:00;,EMS: VEHICLE ACCIDENT
MAIN ST & N LINE ST; LANSDALE; 2015-12-17 @ 00:38:34;,Traffic: ROAD OBSTRUCTION -
AIRY ST & FRANKLIN ALY;  NORRISTOWN; Station 308A; 2015-12-17 @ 00:45:43;,EMS: ASSAULT VICTIM
OAKPLACE CT & WOOD HOLLOW DR;  TOWAMENCIN; Station 345B; 2015-12-17 @ 01:04:16;,EMS: MEDICAL ALERT ALARM
RIDGE PIKE;  LOWER PROVIDENCE; Station 322; 2015-12-17 @ 01:18:25;,EMS: VEHICLE ACCIDENT
RIDGE PIKE & N TROOPER RD; LOWER PROVIDENCE; 2015-12-17 @ 01:16:57;,Traffic: VEHICLE ACCIDENT -
DAVISVILLE RD;  UPPER MORELAND; Station 381; 2015-12-17 @ 01:46:38;,EMS: OVERDOSE
STUMP HALL RD & ANDERS RD;  SKIPPACK; Station 336; 2015-12-17 @ 01:47:31;,EMS: VEHICLE ACCIDENT
STUMP HALL RD & ANDERS RD; SKIPPACK; 2015-12-17 @ 01:47:22-Station:STA86;,Fire: VEHICLE ACCIDENT
STUMP HALL RD & ANDERS RD; SKIPPACK; 2015-12-17 @ 01:46:47;,Traffic: VEHICLE ACCIDENT -
HAWS LN & FRASER RD;  SPRINGFIELD; Station 311; 2015-12-17 @ 01:50:36;,EMS: HEAD INJURY
RED LION RD & HIGH RD; LOWER MORELAND; 2015-12-17 @ 01:49:51;,Traffic: VEHICLE ACCIDENT -
MAPLELEAF LN & ROSE VALLEY RD;  UPPER POTTSGROVE; Station 329; 2015-12-17 @ 02:03:46;,EMS: CARDIAC EMERGENCY
TOMLINSON RD & RR CROSSING; LOWER MORELAND; 2015-12-17 @ 02:13:52;,Traffic: DISABLED VEHICLE -
ESTATE RD & TAYLOR CT;  DOUGLASS; Station 332; 2015-12-17 @ 02:40:42;,EMS: NAUSEA/VOMITING
ORLANDO RD & CONTINENTAL DR;  LOWER POTTSGROVE; Station 329; 2015-12-17 @ 03:30:10;,EMS: SUBJECT IN PAIN
ELLIOTT AVE & CUMMINGS AVE;  ABINGTON; Station 381; 2015-12-17 @ 03:42:59;,EMS: HEAD INJURY
BLAIR MILL RD & WITMER RD;  UPPER MORELAND; Station 384; 2015-12-17 @ 04:22:40;,EMS: VEHICLE ACCIDENT
BLAIR MILL RD & WITMER RD; UPPER MORELAND; 2015-12-17 @ 04:22:42;,Traffic: VEHICLE ACCIDENT -
PRIMROSE DR & MAHOGANY WAY;  UPPER GWYNEDD; Station 345B; 2015-12-17 @ 04:51:29;,EMS: RESPIRATORY EMERGENCY
OLD YORK RD & BRENTWOOD RD; ABINGTON; 2015-12-17 @ 05:11:45-Station:STA100;,Fire: FIRE ALARM
EVERGREEN RD & RAMP EVERGREEN RD TO RT422 EB; LIMERICK; 2015-12-17 @ 05:32:42;,Traffic: VEHICLE ACCIDENT -
VILLAGE AVE & ARBOURS AVE;  SKIPPACK; Station 336; 2015-12-17 @ 05:44:25;,EMS: ABDOMINAL PAINS
CENTRE AVE & BUCHANAN ST;  WEST NORRITON; Station 308B; 2015-12-17 @ 05:45:45;,EMS: MEDICAL ALERT ALARM
DAVISVILLE RD & PENNYPACK RD;  UPPER MORELAND; Station 381; 2015-12-17 @ 05:45:01;,EMS: UNRESPONSIVE SUBJECT
RIDGE PIKE & OAKWYN RD;  WHITEMARSH; Station 318; 2015-12-17 @ 06:06:18;,EMS: FALL VICTIM
E 9TH AVE & FAYETTE ST; CONSHOHOCKEN; 2015-12-17 @ 06:21:17;,Traffic: VEHICLE ACCIDENT -
PINE TREE LN & W MONUMENT AVE;  HATBORO; Station 384; 2015-12-17 @ 06:28:56;,EMS: CARDIAC EMERGENCY
AVENEL BLVD & DEKALB PIKE; MONTGOMERY; 2015-12-17 @ 06:41:21-Station:STA18;,Fire: FIRE INVESTIGATION
CHAIN ST & W OAK ST; NORRISTOWN; 2015-12-17 @ 06:42:31-Station:STA27;,Fire: VEHICLE FIRE
CHAIN ST & W OAK ST; NORRISTOWN; 2015-12-17 @ 06:42:55;,Traffic: VEHICLE FIRE -
HIGH ST & ALLISON DR; LOWER POTTSGROVE; 2015-12-17 @ 06:48:43;,Traffic: VEHICLE ACCIDENT -
HIGH ST & ALLISON DR; LOWER POTTSGROVE; 2015-12-17 @ 06:52:10-Station:STA58;,Fire: VEHICLE ACCIDENT
LUTHERAN HOME DR & DEAD END;  TELFORD; Station 339; 2015-12-17 @ 06:55:40;,EMS: RESPIRATORY EMERGENCY
RAMP RT202 NB TO I76  & RAMP RT422 EB TO I76 EB; UPPER MERION; 2015-12-17 @ 06:55:34;,Traffic: VEHICLE ACCIDENT -
RAMP RT202 NB TO I76  & RAMP RT422 EB TO I76 EB; UPPER MERION; 2015-12-17 @ 06:55:56;,Traffic: VEHICLE ACCIDENT -
BETHLEHEM PIKE & N BROAD ST; HATFIELD TOWNSHIP; 2015-12-17 @ 06:59:22;,Traffic: VEHICLE ACCIDENT -
WELSH RD & NORTH WALES RD; UPPER GWYNEDD; 2015-12-17 @ 07:07:51;,Traffic: VEHICLE ACCIDENT -
SCHOOL ST & N 4TH ST; NORTH WALES; 2015-12-17 @ 07:17:39-Station:STA62;,Fire: VEHICLE FIRE
SCHOOL ST & N 4TH ST; NORTH WALES; 2015-12-17 @ 07:18:01;,Traffic: VEHICLE FIRE -
STUMP RD & ORCHARD DR; MONTGOMERY; 2015-12-17 @ 07:24:17-Station:STA18;,Fire: FIRE ALARM
ANDERSON RD & PRINCETON DR;  UPPER MERION; Station 317; 2015-12-17 @ 07:25:05;,EMS: DIABETIC EMERGENCY
RICHMOND RD & UNIONVILLE PIKE;  HATFIELD TOWNSHIP; Station 345; 2015-12-17 @ 07:27:26;,EMS: CARDIAC EMERGENCY
RT309 EXPY & HAWS LN UNDERPASS; SPRINGFIELD; 2015-12-17 @ 07:39:41;,Traffic: DISABLED VEHICLE -
RT309 EXPY & HAWS LN UNDERPASS; SPRINGFIELD; 2015-12-17 @ 07:40:25;,Traffic: DISABLED VEHICLE -
ALDRIN AVE & ARMSTRONG DR;  UPPER GWYNEDD; Station 345B; 2015-12-17 @ 07:41:19;,EMS: NAUSEA/VOMITING
PHILADELPHIA AVE & CONGO RD; DOUGLASS; 2015-12-17 @ 07:42:29;,Traffic: DISABLED VEHICLE -
PARK AVE & MORELAND RD;  UPPER MORELAND; Station 381; 2015-12-17 @ 07:55:19;,EMS: DIABETIC EMERGENCY
COUNTY LINE RD & CLAIREMONT RD;  LOWER MERION; Station 313A; 2015-12-17 @ 07:51:57;,EMS: FALL VICTIM
VALLEY RD & CLOVERLY LN; ABINGTON; 2015-12-17 @ 07:53:44;,Traffic: VEHICLE ACCIDENT -
DIVISION AVE & WOODLAWN AVE;  UPPER MORELAND; Station 381; 2015-12-17 @ 07:58:12;,EMS: DIZZINESS
MONTGOMERY AVE & BRYN MAWR AVE; LOWER MERION; 2015-12-17 @ 08:05:09;,Traffic: VEHICLE ACCIDENT -
HAZEL AVE & EDGE HILL RD; ABINGTON; 2015-12-17 @ 08:02:58;,Traffic: VEHICLE ACCIDENT -
WELSH RD & TWINING RD; UPPER MORELAND; 2015-12-17 @ 08:01:36;,Traffic: VEHICLE ACCIDENT -
LANCASTER AVE & CHATHAM RD;  LOWER MERION; Station 313; 2015-12-17 @ 08:10:38;,EMS: VEHICLE ACCIDENT
REMINGTON RD;  LOWER MERION; Station 313; 2015-12-17 @ 08:08:23;,EMS: FALL VICTIM
EASTON RD & ANDREA DR;  UPPER MORELAND; Station 381; 2015-12-17 @ 08:07:15;,EMS: UNRESPONSIVE SUBJECT
LANCASTER AVE & CHATHAM RD; LOWER MERION; 2015-12-17 @ 08:10:37;,Traffic: VEHICLE ACCIDENT -
LANCASTER AVE & CHATHAM RD; LOWER MERION; 2015-12-17 @ 08:11:40-Station:STA25;,Fire: VEHICLE ACCIDENT
HEATON RD & REPUBLIC RD; LOWER MORELAND; 2015-12-17 @ 08:10:14;,Traffic: HAZARDOUS ROAD CONDITIONS -
MAIN ST & MAGAZINE RD;  MARLBOROUGH; Station 344A; 2015-12-17 @ 08:13:02;,EMS: CARDIAC EMERGENCY
